transaction_date,description,amount,vendor,department,gl_code
2024-09-16,HR consulting retainer – KPMG,22847.79,KPMG,IT,5500
2024-10-13,Warehouse receipt – Grainger delivery,26003.26,Grainger,Marketing,1300
2024-07-25,Social media advertising – HubSpot,6917.07,HubSpot,Executive,5800
2024-08-05,Service contract revenue – Deloitte,96495.77,Deloitte,Engineering,4200
2024-10-04,Depreciation – computer hardware Q2,1663.95,Internal,Executive,6200
2024-12-19,Warehouse lease payment – JLL,28007.05,JLL,Finance,5700
2024-10-26,Water and sewage charges – ConEdison,1124.15,ConEdison,IT,5300
2024-04-21,Telephone/VoIP charges – Comcast Business,1820.62,Comcast Business,Operations,5300
2024-01-11,Google Ads campaign – Engineering budget Q1,5211.04,Meta Ads,Engineering,5800
2024-12-19,Storage unit rental – CBRE Group,13810.88,CBRE Group,Legal,5700
2024-09-20,Workers compensation insurance – Allianz,4979.73,Allianz,Engineering,6100
2024-01-20,Trade show booth – LinkedIn Marketing expo,10343.98,LinkedIn Marketing,Marketing,5800
2024-12-27,Co-working space rental – WeWork,17776.49,WeWork,Engineering,5700
2024-02-12,Employee wages – pay period #9224,106313.22,Paychex,HR,5900
2024-10-23,Print media advertisement – LinkedIn Marketing,13173.68,LinkedIn Marketing,HR,5800
2024-12-11,Revenue from Target – bulk purchase,146515.93,Target,IT,4100
2024-07-15,Stationery order #3088 from Amazon Business,1204.15,Amazon Business,IT,5100
2024-06-15,Agent commission – contract #7587,21751.91,Channel Partners,Marketing,5600
2024-12-05,Outstanding receivable – project #2016,19468.49,Pinnacle Industries,Finance,1200
2024-06-19,Office supplies purchase from Quill,2393.54,Quill,Legal,5100
2024-08-02,Car rental – Hertz Rental for site inspection,3084.8,Hertz Rental,IT,5200
2024-07-20,Per diem expenses – client visit Hertz Rental,6832.79,Hertz Rental,Executive,5200
2024-04-18,Natural gas utility – Verizon,1295.8,Verizon,Legal,5300
2024-01-08,Water and sewage charges – AT&T,1740.56,AT&T,IT,5300
2024-07-12,Influencer partnership – Mailchimp,10080.83,Mailchimp,Marketing,5800
2024-01-17,Desk accessories and organizers – Office Depot,1365.53,Office Depot,Finance,5100
2024-04-01,Vehicle depreciation – fleet #7043,9735.37,Internal,HR,6200
2024-03-21,Depreciation – computer hardware Q4,1883.38,Internal,Marketing,6200
2024-09-14,Channel partner commission – Internal Sales,3652.38,Internal Sales,Engineering,5600
2024-10-04,Monthly payroll – Sales department,79251.9,ADP Payroll,Sales,5900
2024-08-11,Trade show booth – Google Ads expo,11259.89,Google Ads,Sales,5800
2024-03-27,Furniture & fixtures depreciation,8949.42,Internal,Engineering,6200
2024-04-07,Monthly payroll – HR department,65247.28,Gusto,HR,5900
2024-06-23,Social media advertising – LinkedIn Marketing,17066.02,LinkedIn Marketing,HR,5800
2024-05-26,Online sales revenue – batch #7359,32814.66,Amazon,Executive,4100
2024-10-25,Desk accessories and organizers – Office Depot,1076.6,Office Depot,Finance,5100
2024-12-11,Property insurance renewal – Hartford,4929.83,Hartford,Marketing,6100
2024-09-11,D&O insurance policy – Chubb,11488.29,Chubb,Engineering,6100
2024-02-20,Influencer partnership – LinkedIn Marketing,3257.01,LinkedIn Marketing,HR,5800
2024-03-25,Breakroom supplies from Staples,2228.25,Staples,Executive,5100
2024-03-30,Consulting engagement – Bain & Co project,32689.64,Bain & Co,Operations,4200
2024-03-31,Property insurance renewal – Chubb,8931.11,Chubb,IT,6100
2024-12-13,Referral bonus payout – partner Sales Team,23274.71,Sales Team,Sales,5600
2024-07-12,Property insurance renewal – AIG,7521.65,AIG,Engineering,6100
2024-09-25,Monthly office rent – Regus building,15859.52,Regus,Engineering,5700
2024-07-26,Warehouse lease payment – Brookfield Properties,20526.41,Brookfield Properties,HR,5700
2024-07-15,Vehicle depreciation – fleet #9314,5240.71,Internal,Operations,6200
2024-05-20,Vendor invoice from HP Inc – due net 30,9433.65,HP Inc,Executive,2100
2024-12-14,Developer tools subscription – Google Workspace,8035.19,Google Workspace,Sales,5400
2024-06-16,Content marketing services – Google Ads,11198.66,Google Ads,IT,5800
2024-04-01,Warehouse receipt – Fastenal delivery,45440.37,Fastenal,Sales,1300
2024-06-29,Car rental – Marriott Hotels for site inspection,3651.46,Marriott Hotels,Marketing,5200
2024-09-06,Flight booking – Operations team to conference,2118.24,Hertz Rental,Operations,5200
2024-05-14,Developer tools subscription – Adobe Creative Cloud,11989.47,Adobe Creative Cloud,Sales,5400
2024-05-13,Vendor invoice from HP Inc – due net 30,34264.41,HP Inc,Executive,2100
2024-03-13,Sales commission – Legal team Q2,1893.85,Partner Network,Legal,5600
2024-05-22,Developer tools subscription – AWS,7646.1,AWS,Marketing,5400
2024-03-16,Uber/Lyft rides – IT travel,6023.68,Delta Airlines,IT,5200
2024-10-08,Revenue from Costco – bulk purchase,67731.55,Costco,Marketing,4100
2024-10-14,Per diem expenses – client visit Hilton,2287.43,Hilton,IT,5200
2024-07-03,Office supplies purchase from Office Depot,525.6,Office Depot,IT,5100
2024-10-05,Implementation services – project #4664,23806.31,Boston Consulting,Legal,4200
2024-11-30,Bi-weekly salary disbursement – Engineering,49611.45,Internal HR,Engineering,5900
2024-01-26,Monthly electricity bill – Verizon,2121.13,Verizon,Executive,5300
2024-04-03,Inventory purchase – raw materials from McMaster-Carr,35011.58,McMaster-Carr,Legal,1300
2024-09-02,Referral bonus payout – partner Channel Partners,12625.24,Channel Partners,Sales,5600
2024-09-29,Stationery order #9237 from Staples,1209.11,Staples,Engineering,5100
2024-05-30,Employee wages – pay period #8684,33040.47,Gusto,HR,5900
2024-09-02,Tax preparation – Grant Thornton engagement,26586.63,Grant Thornton,Executive,5500
2024-05-19,Google Ads campaign – HR budget Q2,16878.24,HubSpot,HR,5800
2024-01-31,Contractor payment – ADP Payroll,66886.99,ADP Payroll,Executive,5900
2024-12-02,Accrued interest on credit facility,21475.87,ADP Payroll,Finance,2200
2024-04-29,Influencer partnership – HubSpot,12000.11,HubSpot,Engineering,5800
2024-09-15,Desk accessories and organizers – Quill,1170.35,Quill,Engineering,5100
2024-09-09,Tax preparation – Baker McKenzie engagement,25467.85,Baker McKenzie,Sales,5500
2024-10-13,Customer balance – Vertex Solutions Q1 billing,8411.78,Vertex Solutions,HR,1200
2024-02-04,Property insurance renewal – AIG,14527.06,AIG,Legal,6100
2024-02-09,Property insurance renewal – Hartford,7664.48,Hartford,Finance,6100
2024-07-26,Warehouse lease payment – Regus,17148.67,Regus,Engineering,5700
2024-03-26,Vehicle depreciation – fleet #3959,7561.34,Internal,Executive,6200
2024-03-15,Outstanding receivable – project #6475,74535.45,Vertex Solutions,Legal,1200
2024-10-31,Performance bonus – sales rep #5909,24542.63,Channel Partners,Executive,5600
2024-04-24,Warehouse lease payment – WeWork,29664.69,WeWork,Executive,5700
2024-03-10,Stationery order #2977 from Staples,2210.82,Staples,Operations,5100
2024-10-25,Property insurance renewal – AIG,2525.24,AIG,Engineering,6100
2024-08-25,Depreciation – computer hardware Q1,6569.46,Internal,Sales,6200
2024-02-02,Warehouse lease payment – CBRE Group,27170.92,CBRE Group,Legal,5700
2024-03-15,Annual license – Adobe Creative Cloud enterprise plan,2086.3,Adobe Creative Cloud,Engineering,5400
2024-10-06,Travel reimbursement – employee #4721,7967.94,Hertz Rental,Operations,5200
2024-03-03,Accrued wages payable – Engineering department,1311.63,Internal,Engineering,2200
2024-09-24,Telephone/VoIP charges – Comcast Business,3419.01,Comcast Business,Marketing,5300
2024-09-20,Per diem expenses – client visit United Airlines,1251.71,United Airlines,HR,5200
2024-03-28,Accounting & audit services – Baker McKenzie,16761.64,Baker McKenzie,Engineering,5500
2024-06-24,Desk accessories and organizers – Quill,416.63,Quill,HR,5100
2024-10-24,Internet service – AT&T fiber plan,3895.63,AT&T,Engineering,5300
2024-09-20,Point of sale transaction – store #4336,80139.62,Target,Engineering,4100
2024-01-18,Depreciation – computer hardware Q3,7016.72,Internal,Finance,6200
2024-04-26,External audit fee – KPMG FY review,35483.83,KPMG,Marketing,5500
2024-12-27,Trade show booth – Meta Ads expo,5873.2,Meta Ads,Engineering,5800
2024-03-07,Telephone/VoIP charges – ConEdison,325.61,ConEdison,Sales,5300
2024-08-07,Email campaign platform – HubSpot,4914.64,HubSpot,Engineering,5800
2024-05-29,Referral bonus payout – partner Sales Team,19623.8,Sales Team,Sales,5600
2024-12-23,Contractor payment – Paychex,112704.37,Paychex,Legal,5900
2024-08-13,Monthly retainer – McKinsey advisory,66789.19,McKinsey,Engineering,4200
2024-08-16,Telephone/VoIP charges – AT&T,1666.46,AT&T,Operations,5300
2024-09-04,Influencer partnership – Google Ads,6416.55,Google Ads,Operations,5800
2024-10-04,Wire transfer deposit – Wells Fargo,38073.85,Wells Fargo,Finance,1100
2024-06-18,Software renewal – Adobe Creative Cloud platform,12810.62,Adobe Creative Cloud,IT,5400
2024-03-23,Referral bonus payout – partner Internal Sales,16353.43,Internal Sales,Sales,5600
2024-06-14,Uber/Lyft rides – Sales travel,442.05,Hertz Rental,Sales,5200
2024-02-17,Monthly depreciation – office equipment,7029.12,Internal,Marketing,6200
2024-07-31,Accounting & audit services – KPMG,35297.41,KPMG,Finance,5500
2024-07-05,Parking facility lease – WeWork,10327.86,WeWork,Operations,5700
2024-10-28,D&O insurance policy – Hartford,12257.13,Hartford,Legal,6100
2024-03-04,Cyber liability insurance – State Farm,10601.17,State Farm,Finance,6100
2024-08-27,Employee wages – pay period #9304,92579.26,Gusto,Engineering,5900
2024-01-02,Software renewal – Slack platform,3318.58,Slack,HR,5400
2024-06-18,Monthly depreciation – office equipment,5449.13,Internal,Engineering,6200
2024-10-31,Dividend declaration – Q4 distribution,66810.62,Internal,IT,3100
2024-07-31,Revenue from Target – bulk purchase,147951.92,Target,Engineering,4100
2024-07-02,Co-working space rental – Regus,3530.27,Regus,Finance,5700
2024-06-24,Overtime compensation – IT team,105192.27,ADP Payroll,IT,5900
2024-03-11,Workers compensation insurance – Hartford,1249.59,Hartford,HR,6100
2024-04-08,Performance bonus – sales rep #9621,12316.9,Sales Team,Engineering,5600
2024-02-16,Car rental – Marriott Hotels for site inspection,7383.71,Marriott Hotels,IT,5200
2024-06-08,Property insurance renewal – AIG,4250.15,AIG,Finance,6100
2024-07-03,Vehicle depreciation – fleet #2881,3512.44,Internal,Finance,6200
2024-12-03,Accounting & audit services – KPMG,35525.38,KPMG,HR,5500
2024-03-16,Monthly payroll – Sales department,12451.99,ADP Payroll,Sales,5900
2024-02-07,Service contract revenue – PwC Engagement,72276.55,PwC Engagement,HR,4200
2024-03-11,Warehouse lease payment – CBRE Group,8431.97,CBRE Group,Sales,5700
2024-12-11,Tax preparation – BDO engagement,34734.5,BDO,Sales,5500
2024-09-07,Influencer partnership – HubSpot,2037.33,HubSpot,HR,5800
2024-06-07,Accrued wages payable – Engineering department,24434.83,Benefits Provider,Engineering,2200
2024-06-19,Referral bonus payout – partner Channel Partners,20110.57,Channel Partners,HR,5600
2024-12-02,Legal consultation fee – Ernst & Young,38520.56,Ernst & Young,IT,5500
2024-11-17,Parking facility lease – CBRE Group,13918.78,CBRE Group,Legal,5700
2024-02-19,Developer tools subscription – Google Workspace,6943.08,Google Workspace,HR,5400
2024-02-12,Monthly electricity bill – AT&T,3878.34,AT&T,Legal,5300
2024-08-29,Bank transfer received from Chase Bank,40314.12,Chase Bank,Finance,1100
2024-05-30,Channel partner commission – Internal Sales,8023.06,Internal Sales,Marketing,5600
2024-02-11,HR consulting retainer – Grant Thornton,25528.57,Grant Thornton,Marketing,5500
2024-09-08,Accounting & audit services – Ernst & Young,49045.95,Ernst & Young,Sales,5500
2024-11-12,Bi-weekly salary disbursement – Marketing,116935.38,Paychex,Marketing,5900
2024-07-26,Cyber liability insurance – Hartford,2010.83,Hartford,Marketing,6100
2024-04-20,Desk accessories and organizers – Quill,1347.6,Quill,IT,5100
2024-03-13,Parking facility lease – CBRE Group,19142.12,CBRE Group,Engineering,5700
2024-03-07,Sales commission – Operations team Q3,8699.55,Channel Partners,Operations,5600
2024-01-02,Tax preparation – Grant Thornton engagement,2838.19,Grant Thornton,Sales,5500
2024-06-20,Point of sale transaction – store #3807,84602.49,Target,Operations,4100
2024-06-03,Contractor payment – Paychex,39954.77,Paychex,Sales,5900
2024-04-06,Implementation services – project #6677,92939.7,Deloitte,Engineering,4200
2024-01-18,Accrued bonus provision – Marketing,17885.84,Internal,Marketing,2200
2024-08-23,Depreciation – computer hardware Q1,1412.77,Internal,Finance,6200
2024-02-01,Developer tools subscription – Adobe Creative Cloud,4675.66,Adobe Creative Cloud,HR,5400
2024-10-24,Wholesale product shipment to Best Buy,35202.53,Best Buy,Operations,4100
2024-12-30,Email campaign platform – LinkedIn Marketing,761.14,LinkedIn Marketing,Legal,5800
2024-06-01,Storage unit rental – JLL,9687.1,JLL,Sales,5700
2024-01-15,Hotel accommodation – United Airlines business trip,3970.83,United Airlines,Operations,5200
2024-04-26,Bank interest earned,4235.8,Chase Bank,Marketing,1100
2024-03-22,Outstanding payable to Office Depot,9232.4,Office Depot,IT,2100
2024-03-26,Monthly depreciation – office equipment,3602.93,Internal,Sales,6200
2024-09-14,Influencer partnership – LinkedIn Marketing,19253.88,LinkedIn Marketing,Finance,5800
2024-03-31,Petty cash replenishment,7935.19,Bank of America,IT,1100
2024-09-22,Overtime compensation – Finance team,26039.14,Paychex,Finance,5900
2024-01-06,Property insurance renewal – Allianz,13368.97,Allianz,HR,6100
2024-05-09,Point of sale transaction – store #7277,144962.44,Home Depot,Engineering,4100
2024-05-03,Google Ads campaign – Sales budget Q3,15676.43,LinkedIn Marketing,Sales,5800
2024-08-24,Monthly retainer – PwC Engagement advisory,76468.65,PwC Engagement,Sales,4200
2024-02-01,D&O insurance policy – Hartford,11593.91,Hartford,Executive,6100
2024-01-04,Prior period adjustment – retained earnings,127676.82,Internal,IT,3100
2024-01-30,Flight booking – IT team to conference,7138.36,United Airlines,IT,5200
2024-04-15,Bi-weekly salary disbursement – Sales,37778.24,Gusto,Sales,5900
2024-07-14,Monthly payroll – Operations department,89365.12,Internal HR,Operations,5900
2024-09-14,Print media advertisement – Trade Show Inc,11753.42,Trade Show Inc,Finance,5800
2024-10-12,Tax preparation – Ernst & Young engagement,35103.46,Ernst & Young,Engineering,5500
2024-09-19,Implementation services – project #6975,33365.8,Bain & Co,Engineering,4200
2024-07-21,External audit fee – Grant Thornton FY review,13751.57,Grant Thornton,Sales,5500
2024-11-05,Storage unit rental – Brookfield Properties,20736.17,Brookfield Properties,Sales,5700
2024-02-22,Developer tools subscription – Adobe Creative Cloud,9594.01,Adobe Creative Cloud,IT,5400
2024-03-05,Customer balance – Pinnacle Industries Q1 billing,74217.05,Pinnacle Industries,Sales,1200
2024-07-25,Prior period adjustment – retained earnings,30281.09,Internal,Finance,3100
2024-07-05,Desk accessories and organizers – Staples,91.29,Staples,Engineering,5100
2024-03-16,Vendor invoice from HP Inc – due net 30,31064.39,HP Inc,Marketing,2100
2024-07-26,Natural gas utility – Comcast Business,1646.55,Comcast Business,Marketing,5300
2024-11-03,Overtime compensation – Engineering team,4592.86,ADP Payroll,Engineering,5900
2024-03-20,ATM withdrawal for operations,29506.95,Citibank,Sales,1100
2024-12-15,Email campaign platform – Mailchimp,7783.18,Mailchimp,Executive,5800
2024-04-24,Co-working space rental – CBRE Group,9994.47,CBRE Group,Executive,5700
2024-01-02,Cyber liability insurance – Chubb,13092.58,Chubb,Finance,6100
2024-11-24,Online sales revenue – batch #1033,60262.63,Amazon,Engineering,4100
2024-09-15,Desk accessories and organizers – Quill,428.91,Quill,Legal,5100
2024-05-15,Accrued wages payable – HR department,16476.89,Tax Authority,HR,2200
2024-09-24,Annual license – Slack enterprise plan,9962.59,Slack,Operations,5400
2024-01-05,Internet service – Comcast Business fiber plan,1554.95,Comcast Business,Finance,5300
2024-04-04,Furniture & fixtures depreciation,7414.87,Internal,Marketing,6200
2024-08-26,Monthly electricity bill – Verizon,779.09,Verizon,Sales,5300
2024-12-20,Storage unit rental – JLL,9722.72,JLL,HR,5700
2024-04-08,HR consulting retainer – KPMG,24563.35,KPMG,Finance,5500
2024-09-10,Vehicle depreciation – fleet #8664,6611.39,Internal,Operations,6200
2024-06-26,Performance bonus – sales rep #5900,18415.74,Sales Team,Marketing,5600
2024-09-03,Developer tools subscription – Salesforce,13440.48,Salesforce,IT,5400
2024-11-22,Agent commission – contract #2850,9061.74,Internal Sales,Finance,5600
2024-08-16,Accounting & audit services – Grant Thornton,33292.03,Grant Thornton,Executive,5500
2024-11-13,Overtime compensation – Executive team,46478.77,Paychex,Executive,5900
2024-05-16,Bulk materials procurement from MaterialWorld,18777.2,MaterialWorld,IT,1300
2024-02-25,Desk accessories and organizers – W.B. Mason,871.46,W.B. Mason,Operations,5100
2024-08-04,Monthly electricity bill – ConEdison,1338.68,ConEdison,Legal,5300
2024-11-12,Desk accessories and organizers – Office Depot,535.34,Office Depot,Finance,5100
2024-11-29,General liability insurance premium – Hartford,11037.34,Hartford,Executive,6100
2024-10-23,Developer tools subscription – Jira Atlassian,5835.28,Jira Atlassian,Executive,5400
2024-07-04,Channel partner commission – Sales Team,18970.8,Sales Team,Sales,5600
2024-09-29,Annual license – Microsoft 365 enterprise plan,14439.18,Microsoft 365,HR,5400
2024-03-14,Social media advertising – LinkedIn Marketing,15886.03,LinkedIn Marketing,Executive,5800
2024-08-27,Google Ads campaign – Sales budget Q1,4861.92,Google Ads,Sales,5800
2024-11-30,Desk accessories and organizers – Office Depot,1002.33,Office Depot,Executive,5100
2024-09-20,Channel partner commission – Channel Partners,11811.12,Channel Partners,IT,5600
2024-05-23,Developer tools subscription – Salesforce,14877.82,Salesforce,Engineering,5400
2024-04-15,Service contract revenue – Bain & Co,58325.55,Bain & Co,IT,4200
2024-07-24,Invoice #1178 – Meridian Holdings payment pending,50102.78,Meridian Holdings,Legal,1200
2024-11-22,Cash deposit at branch office,15097.45,Chase Bank,Executive,1100
2024-09-22,Consulting engagement – McKinsey project,83099.47,McKinsey,Finance,4200
2024-04-09,Stationery order #7451 from Staples,1855.48,Staples,Marketing,5100
2024-12-28,Tax preparation – KPMG engagement,4936.65,KPMG,Engineering,5500
2024-08-22,Accrued utility charges – Tax Authority,17803.51,Tax Authority,Marketing,2200
2024-04-18,Annual license – Google Workspace enterprise plan,10127.84,Google Workspace,Legal,5400
2024-01-30,Hotel accommodation – Hertz Rental business trip,5173.79,Hertz Rental,Engineering,5200
2024-07-24,Cyber liability insurance – Allianz,5200.27,Allianz,Executive,6100
2024-01-10,Warehouse lease payment – WeWork,8961.2,WeWork,Marketing,5700
2024-05-22,Telephone/VoIP charges – AT&T,2930.46,AT&T,Sales,5300
2024-04-09,Sales commission – IT team Q1,14631.33,Internal Sales,IT,5600
2024-05-31,Cyber liability insurance – AIG,11952.02,AIG,HR,6100
2024-09-29,Overtime compensation – Marketing team,109221.74,Internal HR,Marketing,5900
2024-07-14,Property insurance renewal – Allianz,9381.16,Allianz,Operations,6100
2024-06-27,Trade show booth – LinkedIn Marketing expo,4600.48,LinkedIn Marketing,Marketing,5800
2024-04-27,Service contract revenue – PwC Engagement,38531.15,PwC Engagement,Operations,4200
2024-10-09,Petty cash replenishment,22086.2,Bank of America,Executive,1100
2024-05-06,Client payment due from Pinnacle Industries,25732.18,Pinnacle Industries,IT,1200
2024-03-12,External audit fee – Baker McKenzie FY review,41509.66,Baker McKenzie,Legal,5500
2024-09-14,Office supplies purchase from Quill,1764.77,Quill,Legal,5100
2024-02-14,Net income transfer to retained earnings,75537.82,Internal,Legal,3100
2024-10-26,HR consulting retainer – Baker McKenzie,37588.51,Baker McKenzie,HR,5500
2024-12-29,Vehicle depreciation – fleet #8606,9484.01,Internal,Marketing,6200
2024-01-15,Google Ads campaign – Legal budget Q4,17500.86,Mailchimp,Legal,5800
2024-08-29,Natural gas utility – Pacific Gas & Electric,4653.05,Pacific Gas & Electric,Marketing,5300
2024-07-14,Contractor payment – Internal HR,67890.38,Internal HR,Legal,5900
2024-02-24,Printer toner and paper – Amazon Business,849.33,Amazon Business,Engineering,5100
2024-02-09,Stationery order #4799 from Quill,187.42,Quill,Executive,5100
2024-02-04,Wholesale product shipment to Amazon,22231.14,Amazon,HR,4100
2024-01-17,Monthly electricity bill – ConEdison,4732.78,ConEdison,IT,5300
2024-08-18,Workers compensation insurance – AIG,13069.01,AIG,Sales,6100
2024-05-15,Sales commission – Finance team Q1,1685.97,Sales Team,Finance,5600
2024-05-02,Agent commission – contract #6984,18864.84,Partner Network,IT,5600
2024-05-11,Telephone/VoIP charges – Verizon,1385.56,Verizon,IT,5300
2024-07-29,Car rental – United Airlines for site inspection,7891.19,United Airlines,Executive,5200
2024-03-26,ACH deposit from Bank of America,38889.04,Bank of America,Operations,1100
2024-01-14,Monthly payroll – Operations department,35041.75,Paychex,Operations,5900
2024-09-26,Point of sale transaction – store #6815,1574.98,Target,Operations,4100
2024-09-30,Tax preparation – Ernst & Young engagement,15145.29,Ernst & Young,Engineering,5500
2024-03-15,External audit fee – BDO FY review,36125.51,BDO,Sales,5500
2024-08-07,Annual license – Salesforce enterprise plan,1584.09,Salesforce,HR,5400
2024-09-08,Content marketing services – Trade Show Inc,15911.09,Trade Show Inc,Legal,5800
2024-05-15,Software renewal – Microsoft 365 platform,14314.47,Microsoft 365,Operations,5400
2024-08-10,Accrued interest on credit facility,17692.51,Tax Authority,Operations,2200
2024-08-26,Co-working space rental – JLL,4376.54,JLL,HR,5700
2024-02-05,Monthly electricity bill – ConEdison,335.08,ConEdison,Operations,5300
2024-05-16,Product sale to Amazon – order #7822,130740.54,Amazon,Legal,4100
2024-07-04,HR consulting retainer – Baker McKenzie,40607.23,Baker McKenzie,Legal,5500
2024-12-01,Vehicle depreciation – fleet #1355,1167.37,Internal,Executive,6200
2024-01-22,Agent commission – contract #9650,10566.21,Internal Sales,Legal,5600
2024-06-15,Car rental – Marriott Hotels for site inspection,6705.39,Marriott Hotels,Engineering,5200
2024-08-10,Prior period adjustment – retained earnings,153791.55,Internal,Operations,3100
2024-09-09,Vehicle depreciation – fleet #9376,1114.51,Internal,Operations,6200
2024-03-21,Monthly office rent – WeWork building,26847.91,WeWork,IT,5700
2024-12-20,Telephone/VoIP charges – AT&T,2782.21,AT&T,IT,5300
2024-11-27,Co-working space rental – Brookfield Properties,4997.56,Brookfield Properties,IT,5700
2024-06-15,Tax preparation – Baker McKenzie engagement,30271.11,Baker McKenzie,Sales,5500
2024-05-08,Contractor payment – Internal HR,85174.62,Internal HR,Executive,5900
2024-05-06,Software renewal – Microsoft 365 platform,336.85,Microsoft 365,Finance,5400
2024-05-14,Breakroom supplies from Quill,1584.3,Quill,HR,5100
2024-11-08,Office supplies purchase from Quill,343.58,Quill,Operations,5100
2024-08-10,Water and sewage charges – Pacific Gas & Electric,669.63,Pacific Gas & Electric,Operations,5300
2024-07-29,Desk accessories and organizers – Staples,1728.74,Staples,Sales,5100
2024-04-25,Office supplies purchase from W.B. Mason,2466.38,W.B. Mason,Finance,5100
2024-02-11,Monthly office rent – CBRE Group building,3273.68,CBRE Group,Legal,5700
2024-06-27,Workers compensation insurance – Hartford,12951.15,Hartford,Marketing,6100
2024-02-03,HR consulting retainer – Grant Thornton,40678.06,Grant Thornton,Operations,5500
2024-06-03,Depreciation – computer hardware Q3,2594.33,Internal,Operations,6200
2024-05-07,Supplier bill #1501 – Sysco Corp,14360.35,Sysco Corp,HR,2100
2024-03-17,Storage unit rental – JLL,18414.9,JLL,Sales,5700
2024-05-25,Desk accessories and organizers – Office Depot,2073.01,Office Depot,Finance,5100
2024-12-14,Legal consultation fee – Grant Thornton,30711.66,Grant Thornton,HR,5500
2024-08-15,Stationery order #1491 from Office Depot,2393.53,Office Depot,Legal,5100
2024-03-07,Leasehold improvements amortization,3438.91,Internal,Finance,6200
2024-12-22,Software renewal – Adobe Creative Cloud platform,11407.67,Adobe Creative Cloud,Finance,5400
2024-03-09,Point of sale transaction – store #6924,144026.78,Walmart,Executive,4100
2024-11-09,Retained earnings adjustment – FY closing,25060.13,Internal,Marketing,3100
2024-01-17,Depreciation – computer hardware Q1,6332.4,Internal,Marketing,6200
2024-10-12,Printer toner and paper – Amazon Business,2477.7,Amazon Business,Marketing,5100
2024-11-27,Vendor invoice from Staples – due net 30,6713.03,Staples,Operations,2100
2024-04-01,Online sales revenue – batch #1811,133298.27,Best Buy,Finance,4100
2024-08-03,Bi-weekly salary disbursement – Sales,99694.13,Gusto,Sales,5900
2024-12-15,Vehicle depreciation – fleet #9357,8001.07,Internal,Operations,6200
2024-11-26,Monthly SaaS subscription – Slack,6983.58,Slack,Operations,5400
2024-01-20,Software renewal – Slack platform,13752.2,Slack,Marketing,5400
2024-12-20,Contractor payment – Gusto,40375.43,Gusto,HR,5900
2024-08-03,Per diem expenses – client visit United Airlines,4732.01,United Airlines,Legal,5200
2024-02-16,Accrued interest on credit facility,27494.94,Tax Authority,Legal,2200
2024-09-03,Accrued bonus provision – Executive,3735.34,Tax Authority,Executive,2200
2024-03-02,Google Ads campaign – Finance budget Q1,6012.38,HubSpot,Finance,5800
2024-08-12,Prior period adjustment – retained earnings,43098.77,Internal,Legal,3100
2024-02-04,Leasehold improvements amortization,2564.71,Internal,Sales,6200
2024-09-25,Monthly electricity bill – Comcast Business,4249.35,Comcast Business,IT,5300
